dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-11,293340317,20971239834,Shoes,Sandals & Flip Flops,14.0,0.0,0.0,0.0,45.9,0.73,38.61
2023-07-05,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,10.0,39.9,57.75,2519.86,42.9,20.35,906.09
2023-07-05,613364301,19461073461,Shoes,Sandals & Flip Flops,18.0,0.0,0.0,0.0,21.4,1.62,40.53
2023-07-09,588834123,12553692061,Shoes,Boots,14.0,57.9,5.0,310.43,57.9,1.63,108.36
2023-07-11,505370631,14737901057,Underwear & Sleepwear,Women Underwear,18.0,42.99,92.0,4280.67,45.99,30.51,1417.77
2023-07-11,283972864,12472439586,Women Clothes,"Jackets, Coats & Vests",22.0,29.9,33.5,1088.48,0.0,0.0,0.0
2023-07-07,341293050,21408025690,Women Clothes,Pants & Leggings,10.0,79.9,7.25,650.12,109.9,0.37,58.5
2023-07-05,505370631,14737901057,Underwear & Sleepwear,Women Underwear,18.0,42.99,71.0,3189.31,46.99,24.58,1145.86
2023-07-06,322428714,6768709476,Bags,Crossbody & Shoulder Bags,10.0,0.0,0.0,0.0,39.0,1.48,62.26
2023-07-04,357273063,17869184108,Women Clothes,Pants & Leggings,18.0,39.99,52.75,2345.06,43.99,18.66,837.38
2023-07-04,612227047,12975383775,Women Clothes,Jeans,6.0,69.99,38.0,2735.12,85.99,9.75,821.58
2023-07-09,389730142,16881283482,Baby & Kids Fashion,Girl Shoes,14.0,26.9,41.49,1464.97,26.9,4.42,132.45
2023-07-07,441234830,9954583686,Bags,Laptop Bags,20.0,179.9,4.0,715.77,0.0,0.0,0.0
2023-07-09,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,12.0,42.9,12.0,581.99,42.9,6.7,301.63
2023-07-04,311203232,10339037198,Men Clothes,Pants,20.0,74.9,4.0,297.35,74.9,1.77,157.99
2023-07-11,301586096,5082971836,Fashion Accessories,Hair Accessories,12.0,39.9,15.0,633.35,0.0,0.0,0.0
2023-07-10,498871909,9686896051,Women Clothes,"Jackets, Coats & Vests",0.0,129.99,17.0,1960.83,137.5,0.67,74.58
